Date,Open,High,Low,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2017-03-07,827.4,833.41,826.52,831.91,1037576.0,831.91,831.91,828.5831395160923,815.9545973390702,12.628542177022041,0,-20,17464.800000000032
2017-03-08,833.51,838.15,831.79,835.37,988953.0,835.37,835.37,829.8171141495301,816.9016901517986,12.915423997731523,0,-20,17395.60000000003
2017-03-09,836.0,842.0,834.21,838.68,1261393.0,838.68,838.68,831.4285479405246,817.9640467297596,13.464501210764979,0,-20,17329.40000000003
2017-03-10,843.28,844.91,839.5,843.25,1702737.0,843.25,843.25,833.5779028604292,819.1975078648933,14.38039499553588,0,-20,17238.00000000003
2017-03-13,844.0,848.68,843.25,845.54,1149943.0,845.54,845.54,835.7528296130783,820.48250748124,15.270322131838384,-1,-30,17192.20000000003
2017-03-14,843.64,847.24,840.8,845.62,779920.0,845.62,845.62,837.5468605925187,821.7087266284966,15.838133964022063,0,-30,17189.80000000003
2017-03-15,847.59,848.63,840.77,847.2,1381329.0,847.2,847.2,839.3019768484244,822.9522033783261,16.349773470098285,0,-30,17142.400000000027
2017-03-16,849.03,850.85,846.13,848.78,977394.0,848.78,848.78,841.0252537850745,824.2120958964565,16.81315788861798,0,-30,17095.00000000003
2017-03-17,851.61,853.4,847.11,852.12,1713474.0,852.12,852.12,843.0424803696064,825.5734570722391,17.469023297367357,0,-30,16994.80000000003
2017-03-20,850.01,850.22,845.15,848.4,1230795.0,848.4,848.4,844.0165748478598,826.6869469711543,17.32962787670556,0,-30,17106.40000000003
2017-03-21,851.4,853.5,829.02,830.46,2461237.0,830.46,830.46,841.5517430573399,826.870998338415,14.68074471892487,-1,-40,17644.600000000028
2017-03-22,831.91,835.55,827.18,829.59,1399439.0,829.59,829.59,839.376880683278,827.0036325658094,12.37324811746862,1,-30,17722.00000000003
2017-03-23,821.0,822.57,812.25,817.58,3485770.0,817.58,817.58,835.4138114681366,826.5439431723553,8.869868295781316,1,-20,18365.100000000028
2017-03-24,820.08,821.93,808.89,814.43,1980603.0,814.43,814.43,831.5985730193845,825.9530191151672,5.645553904217309,1,-10,18685.300000000032
2017-03-27,806.95,821.63,803.37,819.51,1894735.0,819.51,819.51,829.4006506522237,825.6387254997932,3.7619251524305355,1,0,18051.90000000003
2017-03-28,820.41,825.99,814.02,820.92,1620532.0,820.92,820.92,827.8587141700012,825.4085437680959,2.450170401905325,0,0,18051.90000000003
2017-03-29,825.0,832.76,822.38,831.41,1785234.0,831.41,831.41,828.5044025027282,825.7012977306279,2.803104772100369,0,0,18051.90000000003
2017-03-30,833.5,833.68,829.0,831.5,1055267.0,831.5,831.5,829.0490565931412,825.984161255963,3.0648953371782,0,0,18051.90000000003
2017-03-31,828.97,831.64,827.39,829.56,1401756.0,829.56,829.56,829.1419553943883,826.1585924142088,2.9833629801795496,0,0,18051.90000000003
2017-04-03,829.22,840.85,829.22,838.55,1670349.0,838.55,838.55,830.8525089590449,826.7630513208327,4.089457638212252,0,0,18051.90000000003
2017-04-04,831.36,835.18,829.03,834.57,1045141.0,834.57,834.57,831.5284164210368,827.1438780856702,4.384538335366642,0,0,18051.90000000003
2017-04-05,835.51,842.45,830.72,831.41,1553614.0,831.41,831.41,831.5068861626664,827.3519815936862,4.154904568980214,0,0,18051.90000000003
2017-04-06,832.4,836.39,826.46,827.88,1254245.0,827.88,827.88,830.8474523149089,827.3777385891161,3.469713725792758,0,0,18051.90000000003
2017-04-07,827.96,828.48,820.51,824.67,1057009.0,824.67,824.67,829.7242791667436,827.245653779891,2.4786253868526273,0,0,18051.90000000003
2017-04-10,825.39,829.35,823.77,824.73,978898.0,824.73,824.73,828.8162284091538,827.1229389613598,1.6932894477940863,0,0,18051.90000000003
2017-04-11,824.71,827.42,817.02,823.35,1079510.0,823.35,823.35,827.8223686983986,826.9388931583666,0.8834755400320091,0,0,18051.90000000003
2017-04-12,821.93,826.66,821.02,824.32,900060.0,824.32,824.32,827.1855743895989,826.8111422725926,0.37443211700622214,0,0,18051.90000000003
2017-04-13,822.14,826.38,821.44,823.56,1118432.0,823.56,823.56,826.5263790460355,826.6525499666125,-0.1261709205770103,0,0,18051.90000000003
2017-04-17,825.01,837.75,824.47,837.17,894540.0,837.17,837.17,828.4615828558472,827.1655963097046,1.295986546142558,0,0,18051.90000000003
