Date,Open,High,Low,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2017-01-19,805.12,809.48,801.8,802.17,917586.0,802.17,802.17,798.6355474917535,785.9993315564337,12.636215935319797,0,10,-2157.200000000006
2017-01-20,806.91,806.91,801.69,805.02,1668765.0,805.02,805.02,799.4316798232145,786.6356817847117,12.79599803850283,0,10,-2128.7000000000057
2017-01-23,807.25,820.87,803.74,819.31,1962526.0,819.31,819.31,802.1782001566538,787.846889141215,14.331311015438814,1,20,-1985.8000000000038
2017-01-24,822.3,825.9,817.82,823.87,1472269.0,823.87,823.87,805.4942358569664,789.3243420660742,16.16989379089216,-1,10,-2065.7500000000027
2017-01-25,829.62,835.77,825.06,835.67,1625205.0,835.67,835.67,810.8558538871767,791.5336460449062,19.322207842270586,-1,0,-1776.6000000000022
2017-01-26,837.81,838.0,827.01,832.15,2956071.0,832.15,832.15,814.9517205060961,793.6296656443201,21.322054861775996,1,10,-1776.6000000000022
2017-01-27,834.71,841.95,820.44,823.31,2965099.0,823.31,823.31,816.5527654401643,795.1549971783616,21.397768261802753,0,10,-1865.0000000000025
2017-01-30,814.66,815.84,799.8,802.32,3243683.0,802.32,802.32,813.9756487415934,795.5030698983811,18.472578843212318,1,20,-2074.9000000000015
2017-01-31,796.86,801.25,790.52,796.79,2155235.0,796.79,796.79,811.2935207591529,795.5569560729671,15.73656468618583,0,20,-2185.500000000003
2017-02-01,799.68,801.19,791.19,795.69,2028055.0,795.69,795.69,808.9823104713507,795.5622432121436,13.420067259207144,0,20,-2207.5000000000014
2017-02-02,793.8,802.7,792.0,798.53,1530866.0,798.53,798.53,807.533501286868,795.6726093955793,11.860891891288702,0,20,-2150.700000000003
2017-02-03,802.99,806.0,800.37,801.49,1461278.0,801.49,801.49,806.7235263937018,795.8817893152668,10.841737078435017,0,20,-2091.5000000000023
2017-02-06,799.7,801.67,795.25,801.34,1183903.0,801.34,801.34,805.9942790467217,796.080155269105,9.914123777616624,0,20,-2094.500000000002
2017-02-07,803.99,810.5,801.78,806.97,1240258.0,806.97,806.97,806.1264104176705,796.4758049553682,9.650605462302337,0,20,-1981.900000000002
2017-02-08,807.0,811.84,803.19,808.38,1155899.0,808.38,808.38,806.4304389197207,796.9066770180501,9.523761901670582,0,20,-1953.7000000000025
2017-02-09,809.51,810.66,804.54,809.56,990281.0,809.56,809.56,806.8524752144683,797.3644812379077,9.487993976560574,0,20,-1930.1000000000035
2017-02-10,811.7,815.25,809.78,813.67,1134801.0,813.67,813.67,807.7730929380303,797.9552207976607,9.817872140369673,0,20,-1847.9000000000033
2017-02-13,816.0,820.95,815.49,819.24,1205868.0,819.24,819.24,809.346407506493,798.7387356787779,10.607671827715194,0,20,-1736.5000000000023
2017-02-14,819.0,823.0,816.0,820.45,1054492.0,820.45,820.45,810.8869730144578,799.546920330724,11.340052683733802,0,20,-1712.3000000000015
2017-02-15,819.36,823.0,818.47,818.98,1311338.0,818.98,818.98,812.0159194575684,800.2742190296777,11.741700427890692,0,20,-1741.700000000002
2017-02-16,819.93,824.4,818.98,824.16,1285919.0,824.16,824.16,813.7221602239931,801.1745951107423,12.547565113250812,0,20,-1638.100000000003
2017-02-17,823.02,828.07,821.65,828.07,1610413.0,828.07,828.07,815.7913395001364,802.2152303224954,13.576109177641001,-1,10,-1668.2500000000018
2017-02-21,828.66,833.45,828.35,831.66,1259842.0,831.66,831.66,818.1888452938196,803.4087686958454,14.78007659797413,1,20,-1620.1666666666702
2017-02-22,828.66,833.25,828.64,830.76,985531.0,830.76,830.76,820.1401971786888,804.5478274651591,15.592369713529706,-1,10,-1542.0000000000007
2017-02-23,830.12,832.46,822.88,831.33,1471342.0,831.33,831.33,821.8337253234091,805.6353158241475,16.19840949926163,-1,0,-1536.2999999999993
2017-02-24,827.73,829.0,824.2,828.64,1392039.0,828.64,828.64,822.8454084344147,806.5527187736551,16.292689660759606,1,10,-1536.2999999999993
2017-02-27,824.55,830.5,824.0,829.28,1101221.0,829.28,829.28,823.8235805231018,807.4796565792767,16.343923943825075,0,10,-1529.8999999999994
2017-02-28,825.61,828.54,820.2,823.21,2259817.0,823.21,823.21,823.7319443520169,808.1099494598516,15.621994892165276,0,10,-1590.5999999999988
2017-03-01,828.85,836.25,827.26,835.24,1495949.0,835.24,835.24,825.4318947431505,809.1851605264537,16.246734216696723,0,10,-1470.299999999999
2017-03-02,833.85,834.51,829.64,830.63,941433.0,830.63,830.63,826.1479070338786,809.9776746964155,16.170232337463062,0,10,-1516.3999999999992
2017-03-03,830.56,831.36,825.75,829.08,890640.0,829.08,829.08,826.5192417546261,810.6267317705971,15.892509984029061,0,10,-1531.8999999999987
2017-03-06,826.95,828.88,822.4,827.78,1108805.0,827.78,827.78,826.6645584395699,811.1571755638003,15.507382875769622,0,10,-1544.8999999999994
